Expedition,Site,Hole,Program,Longitude,Latitude,Water Depth (m),Core Recovered (m)
1,1,,DSDP,-92.1833,25.8583,2827,50
1,2,,DSDP,-92.0587,23.0455,3572,13
1,3,,DSDP,-92.0433,23.03,3747,47
1,4,,DSDP,-73.792,24.478,5319,15
1,4,A,DSDP,-73.792,24.478,5319,5.8
1,5,,DSDP,-73.641,24.7265,5354,6.4
1,5,A,DSDP,-73.641,24.7265,5354,1.8
1,6,,DSDP,-67.6477,30.8398,5124,28
1,6,A,DSDP,-67.6477,30.8398,5124
1,7,,DSDP,-68.2967,30.134,5182,9.8
1,7,A,DSDP,-68.2967,30.134,5182,4.6
2,10,,DSDP,-52.2153,32.8622,4712,77
2,11,,DSDP,-44.7467,29.943,3571,6.1
2,11,A,DSDP,-44.7467,29.9433,3571,6.7
2,12,,DSDP,-26.0005,19.6955,4557
2,12,A,DSDP,-26.0005,19.6955,4557
2,12,B,DSDP,-26.0005,19.6955,4557,2.7
2,12,C,DSDP,-26,19.695,4557,30
2,12,D,DSDP,-26,19.695,4557,39
2,8,,DSDP,-67.5533,35.3833,5184,4.7
2,8,A,DSDP,-67.5533,35.3833,5184,3
2,9,,DSDP,-59.195,32.7733,4973,36
2,9,A,DSDP,-59.195,32.7733,4973,11
3,13,,DSDP,-18.2285,6.04,4585,26
3,13,A,DSDP,-18.2285,6.04,4585,11
3,14,,DSDP,-20.941,-28.3315,4343,79
3,15,,DSDP,-17.9832,-30.8897,3927,80
3,16,,DSDP,-15.7132,-30.3358,3527,99
3,17,,DSDP,-6.6025,-28.0457,4265,36
3,17,A,DSDP,-6.6025,-28.0457,4265,35
3,17,B,DSDP,-6.6025,-28.0457,4360,36
3,18,,DSDP,-8.0117,-27.9787,4018,52
3,19,,DSDP,-23.6772,-28.5347,4677,96
3,20,,DSDP,-26.843,-28.5262,4500,6.1
3,20,A,DSDP,-26.8455,-28.5245,4518,11
3,20,B,DSDP,-26.8455,-28.5245,4518,9
3,20,C,DSDP,-26.8455,-28.5245,4506,48
3,21,,DSDP,-30.5975,-28.585,2113,72
3,21,A,DSDP,-30.5975,-28.585,2113,27
3,22,,DSDP,-35.25,-30.0052,2134,38
4,23,,DSDP,-31.0433,-6.1458,5079,23
4,24,,DSDP,-30.8922,-6.2717,5148,5.2
4,24,A,DSDP,-30.891,-6.2763,5148,3.3
4,25,,DSDP,-39.24,-0.5167,1916,25
4,25,A,DSDP,-39.24,-0.5167,1916,2.7
4,26,,DSDP,-44.0428,10.8925,5169
4,26,A,DSDP,-44.0428,10.8925,5169,14
4,27,,DSDP,-56.8793,15.8565,5251,29
4,27,A,DSDP,-56.8793,15.8565,5251,31
4,28,,DSDP,-65.6222,20.5865,5251,14
4,29,,DSDP,-69.3227,14.7852,4247,86
4,29,A,DSDP,-69.3227,14.7852,4247,3.4
4,29,B,DSDP,-69.3227,14.7852,4247,52
4,29,C,DSDP,-69.3227,14.7852,4247,1.4
4,30,,DSDP,-63.3833,12.882,1218,62
4,31,,DSDP,-72.0272,14.9433,3369,41
5,32,,DSDP,-127.556,37.1272,4758,86
5,33,,DSDP,-127.497,39.4747,4284,112
5,34,,DSDP,-127.276,39.4702,4322,106
5,35,,DSDP,-127.475,40.6737,3273,95
5,35,A,DSDP,-127.52,40.8392,3273
5,36,,DSDP,-130.11,40.9847,3273,112
5,37,,DSDP,-140.719,40.979,4682,30
5,38,,DSDP,-140.355,38.702,5137,48
5,39,,DSDP,-139.572,32.8047,4929,17
5,40,,DSDP,-139.901,19.7928,5183,129
5,41,,DSDP,-140.048,19.8542,5339,26
5,42,,DSDP,-140.189,13.8427,4848,92
5,42,A,DSDP,-140.189,13.8427,4848,7
5,43,,DSDP,-151.375,17.1098,5405,8
6,44,,DSDP,-169.015,19.3083,1478,28
6,45,,DSDP,-178.508,24.265,5508
6,45,A,DSDP,-178.508,24.265,5508,3.1
6,46,,DSDP,171.438,27.8833,5769,9.1
6,47,,DSDP,157.712,32.4483,2689,9.1
6,47,A,DSDP,157.712,32.4483,2689,2.4
6,47,B,DSDP,157.712,32.4483,2689,103
6,48,,DSDP,158.022,32.4083,2619
6,48,A,DSDP,158.022,32.4083,2619,0.6
6,48,B,DSDP,158.022,32.4083,2619,21
6,49,,DSDP,156.6,32.4017,4282,9.7
6,49,A,DSDP,156.6,32.4017,4282,10
6,50,,DSDP,156.572,32.4033,4487,2.7
6,50,A,DSDP,156.572,32.4033,4487,26
6,51,,DSDP,153.405,33.475,5981,9.4
6,51,A,DSDP,153.405,33.475,5981,11
6,52,,DSDP,147.13,27.7717,5744,45
6,53,,DSDP,141.192,18.0333,4629,12
6,53,A,DSDP,141.192,18.0333,4629,26
6,53,B,DSDP,141.192,18.0333,4629,9.1
6,54,,DSDP,140.302,15.61,4990,28
6,55,,DSDP,142.535,9.3017,2850,122
6,56,,DSDP,143.56,8.3733,2508
6,56,A,DSDP,143.56,8.3733,2508
6,56,B,DSDP,143.56,8.3733,2508,88
6,57,,DSDP,143.533,8.6817,3300,6.7
6,57,A,DSDP,143.533,8.6817,3300,23
6,57,B,DSDP,143.533,8.6817,3300,9.1
6,58,,DSDP,144.418,9.235,4503,0.3
6,58,A,DSDP,144.418,9.235,4503,4.6
6,58,B,DSDP,144.418,9.235,4486,8.8
6,59,,DSDP,147.582,11.78,5554
6,59,A,DSDP,147.582,11.78,5554,3
6,59,B,DSDP,147.582,11.78,5547,19
6,60,,DSDP,145.698,13.6667,3717,35
7,61,,DSDP,147.062,12.0837,5570,3
7,61,A,DSDP,147.062,12.0837,5570,3
7,62,,DSDP,141.938,1.87,2602,45
7,62,A,DSDP,141.938,1.87,2607,311
7,63,,DSDP,147.89,0.8355,4486,61
7,63,A,DSDP,147.89,0.8355,4486,90
7,63,B,DSDP,147.89,0.8355,4486,21
7,64,,DSDP,158.61,-1.7422,2060,75
7,64,A,DSDP,158.61,-1.7422,2060,68
7,65,,DSDP,176.986,4.3535,6142,132
7,65,A,DSDP,176.986,4.3535,6142,16
7,66,,DSDP,-166.122,2.3935,5310,47
7,66,A,DSDP,-166.122,2.3768,5326,59
7,67,,DSDP,-157.648,24.376,4486,1
7,67,A,DSDP,-157.648,24.376,4484,2
8,68,,DSDP,-164.173,16.722,5466,15
8,68,A,DSDP,-164.173,16.722,5466
8,69,,DSDP,-152.865,6,4978,37
8,69,A,DSDP,-152.865,6,4978,90
8,70,,DSDP,-140.362,6.3347,5059,96
8,70,A,DSDP,-140.362,6.3347,5059,147
8,70,B,DSDP,-140.362,6.3347,5059,3.8
8,71,,DSDP,-140.315,4.4713,4419,367
8,71,A,DSDP,-140.315,4.4713,4419,5.6
8,72,,DSDP,-138.867,0.4415,4326,86
8,72,A,DSDP,-138.867,0.4415,4326,48
8,73,,DSDP,-137.469,-1.9097,4387,170
8,74,,DSDP,-136.097,-6.2367,4431,74
8,75,,DSDP,-134.267,-12.5167,4181,69
8,75,A,DSDP,-134.267,-12.5167,4181
9,76,,DSDP,-145.661,-14.0983,4598,9.1
9,76,A,DSDP,-145.661,-14.0983,4598,17
9,77,,DSDP,-133.228,0.4817,4291,0.3
9,77,A,DSDP,-133.228,0.4817,4291,9.1
9,77,B,DSDP,-133.228,0.4817,4291,438
9,77,C,DSDP,-133.228,0.4817,4291,7.6
9,78,,DSDP,-127.356,7.95,4378,302
9,79,,DSDP,-121.567,2.5503,4574,121
9,79,A,DSDP,-121.567,2.5503,4574,35
9,80,,DSDP,-121.554,-0.962,4411,40
9,80,A,DSDP,-121.554,-0.962,4411,46
9,81,,DSDP,-113.809,1.4415,3865,39
9,82,,DSDP,-106.942,2.5913,3707,46
9,82,A,DSDP,-106.942,2.5913,3707,26
9,83,,DSDP,-95.7375,4.0467,3646,47
9,83,A,DSDP,-95.7375,4.0467,3646,141
9,84,,DSDP,-82.8882,5.7487,3096,216
10,85,,DSDP,-91.4228,22.8415,3749,25
10,85,A,DSDP,-91.4228,22.8415,3749,0.5
10,86,,DSDP,-90.9625,22.8747,1481,42
10,87,,DSDP,-92.086,23.015,3761,2.5
10,88,,DSDP,-94.0035,21.3822,2532,33
10,89,,DSDP,-95.1122,20.8902,3067,26
10,90,,DSDP,-94.7682,23.7967,3713,57
10,91,,DSDP,-93.3462,23.7733,3763,148
10,92,,DSDP,-91.8215,25.8448,2573,41
10,93,,DSDP,-91.4797,22.6208,3090,1
10,94,,DSDP,-88.4693,24.5273,1793,175
10,95,,DSDP,-86.3975,24.15,1633,118
10,96,,DSDP,-85.7633,23.7427,3439,28
10,97,,DSDP,-84.4457,23.8842,2930,35
11,100,,DSDP,-73.7997,24.6878,5325,30
11,101,,DSDP,-74.4385,25.1988,4868,16
11,101,A,DSDP,-74.4385,25.1988,4868,23
11,102,,DSDP,-74.4523,30.7322,3426,99
11,103,,DSDP,-74.5832,30.4513,3964,37
11,104,,DSDP,-74.3273,30.8275,3811,56
11,105,,DSDP,-69.1733,34.8953,5251,197
11,106,,DSDP,-69.4615,36.4335,4500,22
11,106,A,DSDP,-69.4615,36.4335,4500
11,106,B,DSDP,-69.4302,36.4213,4504,39
11,107,,DSDP,-72.4753,38.6598,2571,1.5
11,108,,DSDP,-72.6535,38.8045,1845,7.2
11,98,,DSDP,-77.3113,25.3825,2769,80
11,99,,DSDP,-73.8498,23.6857,4914
11,99,A,DSDP,-73.8498,23.6857,4914,29
12,111,,DSDP,-46.3675,50.4262,1797,15
12,111,A,DSDP,-46.3675,50.4262,1797,59
12,112,,DSDP,-46.604,54.0167,3657,75
12,112,A,DSDP,-46.604,54.0167,3657,32
12,113,,DSDP,-48.3318,56.79,3619,31
12,114,,DSDP,-26.8,59.9333,1927,46
12,115,,DSDP,-21.1167,58.9067,2883,11
12,116,,DSDP,-15.9243,57.496,1151,195
12,116,A,DSDP,-15.9243,57.496,1151,89
12,117,,DSDP,-15.3995,57.3362,1038,8.5
12,117,A,DSDP,-15.3995,57.3362,1038,34
12,118,,DSDP,-9.0105,45.0442,4901,52
12,119,,DSDP,-7.9748,45.0317,4447,192
13,120,,DSDP,-11.4323,36.6898,1711,6.2
13,121,,DSDP,-4.3738,36.1608,1163,46
13,122,,DSDP,2.6243,40.4478,2146,5.6
13,123,,DSDP,2.8378,40.6305,2290,20
13,124,,DSDP,4.9948,38.873,2726,41
13,125,,DSDP,20.4293,34.6248,2782,48
13,125,A,DSDP,20.4293,34.6248,2782,18
13,126,,DSDP,21.4272,35.162,3730,19
13,126,A,DSDP,21.4272,35.162,3733,0.9
13,127,,DSDP,22.4968,35.7317,4654,92
13,127,A,DSDP,22.4968,35.7317,4636,23
13,127,B,DSDP,22.4968,35.7317,4640,0.5
13,128,,DSDP,22.4683,35.7097,4640,74
13,129,,DSDP,27.082,34.3493,3048,2.8
13,129,A,DSDP,27.082,34.3493,2832,1.7
13,129,B,DSDP,27.082,34.3493,3042,1.4
13,130,,DSDP,27.8665,33.6052,2979,23
13,130,A,DSDP,27.8665,33.6052,2982,1
13,131,,DSDP,28.5115,33.1065,3035,8
13,131,A,DSDP,28.5115,33.1065,3037,7.5
13,132,,DSDP,11.4412,40.2617,2835,168
13,133,,DSDP,7.3355,39.1998,2563,6
13,134,,DSDP,7.3042,39.195,2864,23
13,134,A,DSDP,7.3042,39.195,2864,1.8
13,134,B,DSDP,7.3042,39.195,2869,0.2
13,134,C,DSDP,7.3042,39.195,2869
13,134,D,DSDP,7.3042,39.195,2871,1.3
13,134,E,DSDP,7.3042,39.195,2869,0.6
14,135,,DSDP,-10.4243,35.3467,4152,25
14,136,,DSDP,-16.3032,34.1688,4169,34
14,137,,DSDP,-27.0607,25.9255,5361,68
14,138,,DSDP,-25.5632,25.9228,5288,23
14,139,,DSDP,-18.7043,23.519,3047,17
14,140,,DSDP,-21.792,21.7495,4483,30
14,140,A,DSDP,-21.792,21.7495,4483,9.1
14,141,,DSDP,-23.9985,19.4193,4148,72
14,142,,DSDP,-42.3915,3.3692,4372,41
14,143,,DSDP,-54.3118,9.4742,3493
14,143,A,DSDP,-54.3118,9.4742,3493,3
14,143,B,DSDP,-54.3118,9.4742,3493
14,143,C,DSDP,-54.3118,9.4742,3501
14,143,D,DSDP,-54.3118,9.4742,3501
14,144,,DSDP,-54.342,9.4538,2957,28
14,144,A,DSDP,-54.342,9.4538,2957,29
14,144,B,DSDP,-54.342,9.4538,2957,27
15,145,,DSDP,-68.0562,16.579,4358
15,146,,DSDP,-69.3778,15.1165,3949,145
15,146,A,DSDP,-69.3778,15.1165,3949,4
15,147,,DSDP,-65.1747,10.708,892,119
15,147,A,DSDP,-65.1742,10.7113,892,6
15,147,B,DSDP,-65.1742,10.7113,892,80
15,147,C,DSDP,-65.1742,10.7113,892,32
15,148,,DSDP,-63.7208,13.4187,1232,181
15,149,,DSDP,-69.3642,15.1042,3972,239
15,150,,DSDP,-69.3558,14.5115,4545,39
15,150,A,DSDP,-69.3558,14.5115,4545,1
15,151,,DSDP,-73.4097,15.017,2029,56
15,152,,DSDP,-74.6078,15.8787,3899,59
15,153,,DSDP,-72.4347,13.9722,3932,70
15,154,,DSDP,-80.3792,11.0852,3338,66
15,154,A,DSDP,-80.3803,11.0845,3338,130
16,155,,DSDP,-81.0437,6.123,2752,57
16,156,,DSDP,-85.401,-1.68,2369,0.5
16,157,,DSDP,-85.9028,-1.7617,2591,274
16,157,A,DSDP,-85.9028,-1.7617,2591,19
16,158,,DSDP,-85.236,6.6227,1953,250
16,159,,DSDP,-122.288,12.332,4484,97
16,160,,DSDP,-130.88,11.7045,4940,96
16,161,,DSDP,-139.954,10.6708,4939,94
